,Date,inflation_rate,house_price,Import_value,Export_value,unemploment rate,interest rate
0,2012-Jan,2.9,163297.0,188224982925,118156544582,8.3,3.92
1,2012-Feb,2.9,163187.0,176338299043,123448585034,8.3,3.89
2,2012-Mar,2.7,163356.0,202088822547,139760502675,8.2,3.95
3,2012-Apr,2.3,163679.0,194220616666,127377156294,8.2,3.91
4,2012-May,1.7,164156.0,203703337686,131457194003,8.2,3.8
5,2012-Jun,1.7,164607.0,196759876501,132782028092,8.2,3.68
6,2012-Jul,1.4,165069.0,197038199847,121608175744,8.2,3.55
7,2012-Aug,1.7,165509.0,200053453114,128365716565,8.1,3.6
8,2012-Sep,2.0,165997.0,191079432694,128267980419,7.8,3.5
9,2012-Oct,2.2,166576.0,203665100105,133725948096,7.8,3.38
10,2012-Nov,1.8,167284.0,199052700239,130138996840,7.7,3.35
11,2012-Dec,1.7,168080.0,181580411593,130476357327,7.9,3.35
12,2013-Jan,1.6,169051.0,189964599514,123216535071,8.0,3.41
13,2013-Feb,2.0,170136.0,174343561496,123550055435,7.7,3.53
14,2013-Mar,1.5,171376.0,186153771860,136359059708,7.5,3.57
15,2013-Apr,1.1,172629.0,195975614700,129599139223,7.6,3.45
16,2013-May,1.4,173962.0,202049307031,132914964350,7.5,3.54
17,2013-Jun,1.8,175319.0,189393077311,134910570026,7.5,4.07
18,2013-Jul,2.0,176680.0,203592382848,127552297360,7.3,4.37
19,2013-Aug,1.5,177942.0,198830692547,132341753920,7.2,4.46
20,2013-Sep,1.2,179144.0,195852352796,128610916705,7.2,4.49
21,2013-Oct,1.0,180297.0,211688862773,141394800000,7.2,4.19
22,2013-Nov,1.2,181375.0,193337776636,136744379388,6.9,4.26
23,2013-Dec,1.5,182406.0,187146633293,130806890714,6.7,4.46
24,2014-Jan,1.6,183429.0,189689988788,127431068423,6.6,4.43
25,2014-Feb,1.1,184482.0,174869900319,123884008510,6.7,4.3
26,2014-Mar,1.5,185352.0,197653685408,141888293520,6.7,4.34
27,2014-Apr,2.0,186067.0,206050951503,133799264464,6.2,4.34
28,2014-May,2.1,186717.0,205347854239,138150356042,6.3,4.19
29,2014-Jun,2.1,187385.0,202492654083,138370598053,6.1,4.16
30,2014-Jul,2.0,187972.0,210038297808,133263080699,6.2,4.13
31,2014-Aug,1.7,188377.0,201646665091,138003605824,6.1,4.12
32,2014-Sep,1.7,188757.0,208105297715,133416948355,5.9,4.16
33,2014-Oct,1.7,189244.0,216893937197,145277703997,5.7,4.04
34,2014-Nov,1.3,189887.0,193992944875,135339275061,5.8,4.0
35,2014-Dec,0.8,190615.0,201316535006,133833257768,5.6,3.86
36,2015-Jan,-0.1,191351.0,184745170594,121439383029,5.7,3.67
37,2015-Feb,0.0,192170.0,166788848213,118286046530,5.5,3.71
38,2015-Mar,-0.1,193074.0,203662851812,133281207416,5.4,3.77
39,2015-Apr,-0.2,194013.0,194533558906,128247315144,5.4,3.67
40,2015-May,0.0,194946.0,191492538570,128142016091,5.6,3.84
41,2015-Jun,0.1,195750.0,201743707769,130946483350,5.3,3.98
42,2015-Jul,0.2,196457.0,198187451473,124094043067,5.2,4.05
43,2015-Aug,0.2,197135.0,195973769980,123021273830,5.1,3.91
44,2015-Sep,0.0,197859.0,196736744267,125330879433,5.0,3.89
45,2015-Oct,0.2,198617.0,200474368876,130558801837,5.0,3.8
46,2015-Nov,0.5,199350.0,187533708457,120682409319,5.1,3.94
47,2015-Dec,0.7,200219.0,184949442352,119840579272,5.0,3.96
48,2016-Jan,1.4,201186.0,170770745258,107875755013,4.8,3.87
49,2016-Feb,1.0,202238.0,172971453790,113429505346,4.9,3.66
50,2016-Mar,0.9,203157.0,183280155334,125480434122,5.0,3.69
51,2016-Apr,1.1,204146.0,178860148491,118659919379,5.1,3.61
52,2016-May,1.0,205103.0,188419615636,119570205510,4.8,3.6
53,2016-Jun,1.0,206074.0,193574151430,125067918292,4.9,3.57
54,2016-Jul,0.8,206943.0,186798293499,115775187293,4.8,3.44
55,2016-Aug,1.1,207776.0,199324548159,122619384394,4.9,3.44
56,2016-Sep,1.5,208648.0,190948726274,124440266680,5.0,3.46
57,2016-Oct,1.6,209586.0,197148686385,128473623776,4.9,3.47
58,2016-Nov,1.7,210642.0,196342883259,122950910135,4.7,3.77
59,2016-Dec,2.1,211730.0,188727846923,126563163016,4.7,4.2
60,2017-Jan,2.5,212825.0,191083700585,117391160933,4.7,4.15
61,2017-Feb,2.7,213946.0,174270105628,119200449106,4.6,4.17
62,2017-Mar,2.4,215108.0,199596940754,135824770604,4.4,4.2
63,2017-Apr,2.2,216350.0,191408274084,123802015204,4.4,4.05
64,2017-May,1.9,217538.0,206281428429,127720287249,4.4,4.01
65,2017-Jun,1.6,218676.0,203961423606,132697892894,4.3,3.9
66,2017-Jul,1.7,219673.0,197604842095,122074198895,4.3,3.97
67,2017-Aug,1.9,220672.0,207476522735,129131227632,4.4,3.88
68,2017-Sep,2.2,221765.0,200262185627,130225414170,4.3,3.81
69,2017-Oct,2.0,222969.0,216523680883,136147513436,4.2,3.9
70,2017-Nov,2.2,224235.0,213311274883,135436296756,4.2,3.92
71,2017-Dec,2.1,225532.0,205609810151,135957931612,4.1,3.95
72,2018-Jan,2.1,226822.0,209017800127,124905531961,4.0,4.03
73,2018-Feb,2.2,228192.0,192344630178,128131722639,4.1,4.33
74,2018-Mar,2.4,229524.0,213778860811,149796242838,4.0,4.44
75,2018-Apr,2.5,230842.0,211094120159,137987283501,4.0,4.47
76,2018-May,2.8,232058.0,222517902218,145382811366,3.8,4.59
77,2018-Jun,2.9,233171.0,217600147849,145328208782,4.0,4.57
78,2018-Jul,2.9,234203.0,222973639576,133658201534,3.8,4.53
79,2018-Aug,2.7,235181.0,228351326189,140067275895,3.8,4.55
80,2018-Sep,2.3,236157.0,217507336101,139113130990,3.7,4.63
81,2018-Oct,2.5,237122.0,242876146799,147073575990,3.8,4.83
82,2018-Nov,2.2,238096.0,220159704279,139742226984,3.8,4.87
83,2018-Dec,1.9,239088.0,213210875871,134116724111,3.9,4.64
84,2019-Jan,1.6,240107.0,210756593047,129454163658,4.0,4.46
85,2019-Feb,1.5,241048.0,191213563562,130441636572,3.8,4.37
86,2019-Mar,1.9,241856.0,213573036023,148092232697,3.8,4.27
87,2019-Apr,2.0,242555.0,214735935654,135081092045,3.6,4.14
88,2019-May,1.8,243200.0,226872440809,142149166766,3.6,4.07
89,2019-Jun,1.6,243801.0,213075539484,137999278054,3.6,3.8
90,2019-Jul,1.8,244353.0,225090933779,132758811537,3.7,3.77
91,2019-Aug,1.7,244912.0,221815920493,138599626805,3.7,3.62
92,2019-Sep,1.7,245545.0,212408805947,134555474833,3.5,3.61
93,2019-Oct,1.8,246258.0,225165794226,142173139770,3.6,3.69
94,2019-Nov,2.1,246993.0,204810957938,137218927622,3.6,3.7
95,2019-Dec,2.3,247820.0,207972676141,135752670424,3.6,3.72
96,2020-Jan,2.5,248804.0,202039927819,128979511214,3.5,3.62
97,2020-Feb,2.3,249948.0,183256071198,131992099314,3.5,3.47
98,2020-Mar,1.5,251233.0,199552338938,134400749545,4.4,3.45
99,2020-Apr,0.3,252454.0,170472110871,95683779400,14.7,3.31
100,2020-May,0.1,253301.0,168987161544,90584959523,13.2,3.23
101,2020-Jun,0.6,254008.0,184886066435,104967248780,11.0,3.16
102,2020-Jul,1.0,255106.0,206507506826,112581599137,10.2,3.02
103,2020-Aug,1.3,257022.0,209439292560,117958253650,8.4,2.94
104,2020-Sep,1.4,259531.0,212436902064,121378736772,7.9,2.89
105,2020-Oct,1.2,262350.0,226163789343,132402660776,6.9,2.83
106,2020-Nov,1.2,265374.0,219391292326,126854420188,6.7,2.77
107,2020-Dec,1.4,268418.0,222249097743,132469605190,6.7,2.68
