,Date,Import_value,Export_value
0,201001,139792954579,92674213944
1,201002,137989527837,93705051356
2,201003,161868067188,110230750991
3,201004,157174114346,102137719916
4,201005,160292896342,105311563308
5,201006,173697582968,106917060044
6,201007,169116700961,104004950680
7,201008,175991727656,106882405507
8,201009,171350859960,107768444385
9,201010,174978459711,117574791376
10,201011,173499481820,112934778149
11,201012,170744376575,116967432199
12,201101,170800073568,110200815743
13,201102,160918535693,109745138312
14,201103,190533679870,131010674491
15,201104,182571022432,123752794272
16,201105,192927267012,123812686212
17,201106,197269857482,122880455194
18,201107,191546510305,120429505660
19,201108,201646255078,126650327371
20,201109,193865830081,127094342446
21,201110,196312030645,130949828728
22,201111,195675265041,126418247758
23,201112,188519307159,126785352705
24,201201,188224982925,118156544582
25,201202,176338299043,123448585034
26,201203,202088822547,139760502675
27,201204,194220616666,127377156294
28,201205,203703337686,131457194003
29,201206,196759876501,132782028092
30,201207,197038199847,121608175744
31,201208,200053453114,128365716565
32,201209,191079432694,128267980419
33,201210,203665100105,133725948096
34,201211,199052700239,130138996840
35,201212,181580411593,130476357327
36,201301,189964599514,123216535071
37,201302,174343561496,123550055435
38,201303,186153771860,136359059708
39,201304,195975614700,129599139223
40,201305,202049307031,132914964350
41,201306,189393077311,134910570026
42,201307,203592382848,127552297360
43,201308,198830692547,132341753920
44,201309,195852352796,128610916705
45,201310,211688862773,141394800000
46,201311,193337776636,136744379388
47,201312,187146633293,130806890714
48,201401,189689988788,127431068423
49,201402,174869900319,123884008510
50,201403,197653685408,141888293520
51,201404,206050951503,133799264464
52,201405,205347854239,138150356042
53,201406,202492654083,138370598053
54,201407,210038297808,133263080699
55,201408,201646665091,138003605824
56,201409,208105297715,133416948355
57,201410,216893937197,145277703997
58,201411,193992944875,135339275061
59,201412,201316535006,133833257768
60,201501,184745170594,121439383029
61,201502,166788848213,118286046530
62,201503,203662851812,133281207416
63,201504,194533558906,128247315144
64,201505,191492538570,128142016091
65,201506,201743707769,130946483350
66,201507,198187451473,124094043067
67,201508,195973769980,123021273830
68,201509,196736744267,125330879433
69,201510,200474368876,130558801837
70,201511,187533708457,120682409319
71,201512,184949442352,119840579272
72,201601,170770745258,107875755013
73,201602,172971453790,113429505346
74,201603,183280155334,125480434122
75,201604,178860148491,118659919379
76,201605,188419615636,119570205510
77,201606,193574151430,125067918292
78,201607,186798293499,115775187293
79,201608,199324548159,122619384394
80,201609,190948726274,124440266680
81,201610,197148686385,128473623776
82,201611,196342883259,122950910135
83,201612,188727846923,126563163016
84,201701,191083700585,117391160933
85,201702,174270105628,119200449106
86,201703,199596940754,135824770604
87,201704,191408274084,123802015204
88,201705,206281428429,127720287249
89,201706,203961423606,132697892894
90,201707,197604842095,122074198895
91,201708,207476522735,129131227632
92,201709,200262185627,130225414170
93,201710,216523680883,136147513436
94,201711,213311274883,135436296756
95,201712,205609810151,135957931612
96,201801,209017800127,124905531961
97,201802,192344630178,128131722639
98,201803,213778860811,149796242838
99,201804,211094120159,137987283501
100,201805,222517902218,145382811366
101,201806,217600147849,145328208782
102,201807,222973639576,133658201534
103,201808,228351326189,140067275895
104,201809,217507336101,139113130990
105,201810,242876146799,147073575990
106,201811,220159704279,139742226984
107,201812,213210875871,134116724111
108,201901,210756593047,129454163658
109,201902,191213563562,130441636572
110,201903,213573036023,148092232697
111,201904,214735935654,135081092045
112,201905,226872440809,142149166766
113,201906,213075539484,137999278054
114,201907,225090933779,132758811537
115,201908,221815920493,138599626805
116,201909,212408805947,134555474833
117,201910,225165794226,142173139770
118,201911,204810957938,137218927622
119,201912,207972676141,135752670424
120,202001,202039927819,128979511214
121,202002,183256071198,131992099314
122,202003,199552338938,134400749545
123,202004,170472110871,95683779400
124,202005,168987161544,90584959523
125,202006,184886066435,104967248780
126,202007,206507506826,112581599137
127,202008,209439292560,117958253650
128,202009,212436902064,121378736772
129,202010,226163789343,132402660776
130,202011,219391292326,126854420188
131,202012,222249097743,132469605190
