List_number,Date,inflation_rate
1,2000-Jan,2.7
2,2000-Feb,3.2
3,2000-Mar,3.8
4,2000-Apr,3.1
5,2000-May,3.2
6,2000-Jun,3.7
7,2000-Jul,3.7
8,2000-Aug,3.4
9,2000-Spe,3.5
10,2000-Oct,3.4
11,2000-Nov,3.4
12,2000-Dec,3.4
13,2001-Jan,3.7
14,2001-Feb,3.5
15,2001-Mar,2.9
16,2001-Apr,3.3
17,2001-May,3.6
18,2001-Jun,3.2
19,2001-Jul,2.7
20,2001-Aug,2.7
21,2001-Spe,2.6
22,2001-Oct,2.1
23,2001-Nov,1.9
24,2001-Dec,1.6
25,2002-Jan,1.1
26,2002-Feb,1.1
27,2002-Mar,1.5
28,2002-Apr,1.6
29,2002-May,1.2
30,2002-Jun,1.1
31,2002-Jul,1.5
32,2002-Aug,1.8
33,2002-Spe,1.5
34,2002-Oct,2
35,2002-Nov,2.2
36,2002-Dec,2.4
37,2003-Jan,2.6
38,2003-Feb,3
39,2003-Mar,3
40,2003-Apr,2.2
41,2003-May,2.1
42,2003-Jun,2.1
43,2003-Jul,2.1
44,2003-Aug,2.2
45,2003-Spe,2.3
46,2003-Oct,2
47,2003-Nov,1.8
48,2003-Dec,1.9
49,2004-Jan,1.9
50,2004-Feb,1.7
51,2004-Mar,1.7
52,2004-Apr,2.3
53,2004-May,3.1
54,2004-Jun,3.3
55,2004-Jul,3
56,2004-Aug,2.7
57,2004-Spe,2.5
58,2004-Oct,3.2
59,2004-Nov,3.5
60,2004-Dec,3.3
61,2005-Jan,3
62,2005-Feb,3
63,2005-Mar,3.1
64,2005-Apr,3.5
65,2005-May,2.8
66,2005-Jun,2.5
67,2005-Jul,3.2
68,2005-Aug,3.6
69,2005-Spe,4.7
70,2005-Oct,4.3
71,2005-Nov,3.5
72,2005-Dec,3.4
73,2006-Jan,4
74,2006-Feb,3.6
75,2006-Mar,3.4
76,2006-Apr,3.5
77,2006-May,4.2
78,2006-Jun,4.3
79,2006-Jul,4.1
80,2006-Aug,3.8
81,2006-Spe,2.1
82,2006-Oct,1.3
83,2006-Nov,2
84,2006-Dec,2.5
85,2007-Jan,2.1
86,2007-Feb,2.4
87,2007-Mar,2.8
88,2007-Apr,2.6
89,2007-May,2.7
90,2007-Jun,2.7
91,2007-Jul,2.4
92,2007-Aug,2
93,2007-Spe,2.8
94,2007-Oct,3.5
95,2007-Nov,4.3
96,2007-Dec,4.1
97,2008-Jan,4.3
98,2008-Feb,4
99,2008-Mar,4
100,2008-Apr,3.9
101,2008-May,4.2
102,2008-Jun,5
103,2008-Jul,5.6
104,2008-Aug,5.4
105,2008-Spe,4.9
106,2008-Oct,3.7
107,2008-Nov,1.1
108,2008-Dec,0.1
109,2009-Jan,0
110,2009-Feb,0.2
111,2009-Mar,-0.4
112,2009-Apr,-0.7
113,2009-May,-1.3
114,2009-Jun,-1.4
115,2009-Jul,-2.1
116,2009-Aug,-1.5
117,2009-Spe,-1.3
118,2009-Oct,-0.2
119,2009-Nov,1.8
120,2009-Dec,2.7
121,2010-Jan,2.6
122,2010-Feb,2.1
123,2010-Mar,2.3
124,2010-Apr,2.2
125,2010-May,2
126,2010-Jun,1.1
127,2010-Jul,1.2
128,2010-Aug,1.1
129,2010-Spe,1.1
130,2010-Oct,1.2
131,2010-Nov,1.1
132,2010-Dec,1.5
133,2011-Jan,1.6
134,2011-Feb,2.1
135,2011-Mar,2.7
136,2011-Apr,3.2
137,2011-May,3.6
138,2011-Jun,3.6
139,2011-Jul,3.6
140,2011-Aug,3.8
141,2011-Spe,3.9
142,2011-Oct,3.5
143,2011-Nov,3.4
144,2011-Dec,3
145,2012-Jan,2.9
146,2012-Feb,2.9
147,2012-Mar,2.7
148,2012-Apr,2.3
149,2012-May,1.7
150,2012-Jun,1.7
151,2012-Jul,1.4
152,2012-Aug,1.7
153,2012-Spe,2
154,2012-Oct,2.2
155,2012-Nov,1.8
156,2012-Dec,1.7
157,2013-Jan,1.6
158,2013-Feb,2
159,2013-Mar,1.5
160,2013-Apr,1.1
161,2013-May,1.4
162,2013-Jun,1.8
163,2013-Jul,2
164,2013-Aug,1.5
165,2013-Spe,1.2
166,2013-Oct,1
167,2013-Nov,1.2
168,2013-Dec,1.5
169,2014-Jan,1.6
170,2014-Feb,1.1
171,2014-Mar,1.5
172,2014-Apr,2
173,2014-May,2.1
174,2014-Jun,2.1
175,2014-Jul,2
176,2014-Aug,1.7
177,2014-Spe,1.7
178,2014-Oct,1.7
179,2014-Nov,1.3
180,2014-Dec,0.8
181,2015-Jan,-0.1
182,2015-Feb,0
183,2015-Mar,-0.1
184,2015-Apr,-0.2
185,2015-May,0
186,2015-Jun,0.1
187,2015-Jul,0.2
188,2015-Aug,0.2
189,2015-Spe,0
190,2015-Oct,0.2
191,2015-Nov,0.5
192,2015-Dec,0.7
193,2016-Jan,1.4
194,2016-Feb,1
195,2016-Mar,0.9
196,2016-Apr,1.1
197,2016-May,1
198,2016-Jun,1
199,2016-Jul,0.8
200,2016-Aug,1.1
201,2016-Spe,1.5
202,2016-Oct,1.6
203,2016-Nov,1.7
204,2016-Dec,2.1
205,2017-Jan,2.5
206,2017-Feb,2.7
207,2017-Mar,2.4
208,2017-Apr,2.2
209,2017-May,1.9
210,2017-Jun,1.6
211,2017-Jul,1.7
212,2017-Aug,1.9
213,2017-Spe,2.2
214,2017-Oct,2
215,2017-Nov,2.2
216,2017-Dec,2.1
217,2018-Jan,2.1
218,2018-Feb,2.2
219,2018-Mar,2.4
220,2018-Apr,2.5
221,2018-May,2.8
222,2018-Jun,2.9
223,2018-Jul,2.9
224,2018-Aug,2.7
225,2018-Spe,2.3
226,2018-Oct,2.5
227,2018-Nov,2.2
228,2018-Dec,1.9
229,2019-Jan,1.6
230,2019-Feb,1.5
231,2019-Mar,1.9
232,2019-Apr,2
233,2019-May,1.8
234,2019-Jun,1.6
235,2019-Jul,1.8
236,2019-Aug,1.7
237,2019-Spe,1.7
238,2019-Oct,1.8
239,2019-Nov,2.1
240,2019-Dec,2.3
241,2020-Jan,2.5
242,2020-Feb,2.3
243,2020-Mar,1.5
244,2020-Apr,0.3
245,2020-May,0.1
246,2020-Jun,0.6
247,2020-Jul,1
248,2020-Aug,1.3
249,2020-Spe,1.4
250,2020-Oct,1.2
251,2020-Nov,1.2
252,2020-Dec,1.4
253,2021-Jan,1.4
254,2021-Feb,1.7
255,2021-Mar,2.6
256,2021-Apr,4.2
257,2021-May,5
258,2021-Jun,5.4
259,2021-Jul,5.4
260,2021-Aug,5.3
261,2021-Spe,5.4
262,2021-Oct,6.2
263,2021-Nov,6.8
264,2021-Dec,7
