year,inflation rate,interest rate
2012jan,2.9,3.92
2012feb,2.9,3.89
2012mar,2.7,3.95
2012apr,2.3,3.91
2012may,1.7,3.8
2012jun,1.7,3.68
2012jul,1.4,3.55
2012aug,1.7,3.6
2012sep,2,3.5
2012oct,2.2,3.38
2012nov,1.8,3.35
2012dec,1.7,3.35
2013jan,1.6,3.41
2013feb,2,3.53
2013mar,1.5,3.57
2013apr,1.1,3.45
2013may,1.4,3.54
2013jun,1.8,4.07
2013jul,2,4.37
2013aug,1.5,4.46
2013sep,1.2,4.49
2013oct,1,4.19
2013nov,1.2,4.26
2013dec,1.5,4.46
2014jan,1.6,4.43
2014feb,1.1,4.3
2014mar,1.5,4.34
2014apr,2,4.34
2014may,2.1,4.19
2014jun,2.1,4.16
2014jul,2,4.13
2014aug,1.7,4.12
2014sep,1.7,4.16
2014oct,1.7,4.04
2014nov,1.3,4
2014dec,0.8,3.86
2015jan,-0.1,3.67
2015feb,0,3.71
2015mar,-0.1,3.77
2015apr,-0.2,3.67
2015may,0,3.84
2015jun,0.1,3.98
2015jul,0.2,4.05
2015aug,0.2,3.91
2015sep,0,3.89
2015oct,0.2,3.8
2015nov,0.5,3.94
2015dec,0.7,3.96
2016jan,1.4,3.87
2016feb,1,3.66
2016mar,0.9,3.69
2016apr,1.1,3.61
2016may,1,3.6
2016jun,1,3.57
2016jul,0.8,3.44
2016aug,1.1,3.44
2016sep,1.5,3.46
2016oct,1.6,3.47
2016nov,1.7,3.77
2016dec,2.1,4.2
2017jan,2.5,4.15
2017feb,2.7,4.17
2017mar,2.4,4.2
2017apr,2.2,4.05
2017may,1.9,4.01
2017jun,1.6,3.9
2017jul,1.7,3.97
2017aug,1.9,3.88
2017sep,2.2,3.81
2017oct,2,3.9
2017nov,2.2,3.92
2017dec,2.1,3.95
2018jan,2.1,4.03
2018feb,2.2,4.33
2018mar,2.4,4.44
2018apr,2.5,4.47
2018may,2.8,4.59
2018jun,2.9,4.57
2018jul,2.9,4.53
2018aug,2.7,4.55
2018sep,2.3,4.63
2018oct,2.5,4.83
2018nov,2.2,4.87
2018dec,1.9,4.64
2019jan,1.6,4.46
2019feb,1.5,4.37
2019mar,1.9,4.27
2019apr,2,4.14
2019may,1.8,4.07
2019jun,1.6,3.8
2019jul,1.8,3.77
2019aug,1.7,3.62
2019sep,1.7,3.61
2019oct,1.8,3.69
2019nov,2.1,3.7
2019dec,2.3,3.72
2020jan,2.5,3.62
2020feb,2.3,3.47
2020mar,1.5,3.45
2020apr,0.3,3.31
2020may,0.1,3.23
2020jun,0.6,3.16
2020jul,1,3.02
2020aug,1.3,2.94
2020sep,1.4,2.89
2020oct,1.2,2.83
2020nov,1.2,2.77
2020dec,1.4,2.68
2021jan,1.4,2.74
2021feb,1.7,2.81
2021mar,2.6,3.08
2021apr,4.2,3.06
2021may,5,2.96
2021jun,5.4,2.98
2021jul,5.4,2.87
2021aug,5.3,2.84
2021sep,5.4,2.9
2021oct,6.2,3.07
2021nov,6.8,3.07
2021dec,7,3.1
